date,rank,symbol,stock_name,signal_source,best_sector,best_sector_name,sectors,final_score,base_score,risk_penalty,board_leadership,relative_strength,liquidity,brick_strength,white_yellow_trend,previous_kdj_j,previous_kdj_doji,score_bucket,return_1d,return_2d,return_3d,return_5d,next_day_high_return,next_day_low_return,hit_plus_3pct_next_day,hit_minus_3pct_next_day
2026-01-05,1,300143.SZ,盈康生命,python_only,880733.SH,人脑工程,880733.SH,76.42153327316255,84.42153327316255,8.0,12.0,8.0,8.863636363636363,28.0,8.467375416255035,14.09052149327115,5.0,70-<80,-0.010544815465729385,-0.04920913884007039,0.021089630931458547,0.16695957820738117,0.016695957820738183,-0.031634446397188154,False,True
2026-01-05,2,300043.SZ,星辉娱乐,python_only,880749.SH,云游戏,880749.SH,75.0994581080939,79.0994581080939,4.0,7.199999999999999,6.923076923076923,9.0,28.0,8.3088792233772,14.667501961639772,5.0,70-<80,0.0033333333333331883,0.008333333333333304,0.023333333333333206,0.11333333333333329,0.006666666666666599,-0.009999999999999898,False,False
2026-01-05,3,300314.SZ,戴维医疗,python_only,880650.SH,血氧仪,880650.SH;880920.SH,75.09602474471383,79.09602474471383,4.0,9.600000000000001,8.0,8.883333333333333,28.0,6.716304619485031,12.896386791895463,5.0,70-<80,-0.01179941002949858,-0.02212389380530977,-0.0036873156342183133,0.02433628318584069,0.022861356932153187,-0.014011799410029613,False,False
2026-01-05,4,002432.SZ,九安医疗,python_only,880650.SH,血氧仪,880650.SH,74.57915648533562,74.57915648533562,0.0,9.600000000000001,2.0,5.85,28.0,9.129156485335614,15.0,5.0,70-<80,0.00024437927663734094,-0.0009775171065493637,0.0026881720430107503,0.03396871945259039,0.0014662756598238236,-0.006109481915933523,False,False
2026-01-05,5,300009.SZ,安科生物,python_only,880920.SH,免疫治疗,880920.SH,72.92902507429358,72.92902507429358,0.0,4.800000000000001,5.901639344262295,9.540322580645162,28.0,4.687063149386113,15.0,5.0,70-<80,0.0,-0.0009970089730807485,0.014955134596211339,0.03688933200398803,0.005982053838484491,-0.010967098703888234,False,False
2026-01-06,1,002378.SZ,章源钨业,python_only,880505.SH,稀缺资源,880505.SH,81.71701954996819,81.71701954996819,0.0,4.800000000000001,7.301587301587301,5.158730158730159,28.0,16.64762044328368,14.809081646367037,5.0,80-<90,0.06466666666666665,0.04266666666666663,0.1306666666666667,0.09600000000000009,0.07066666666666666,0.0020000000000000018,True,False
2026-01-06,2,601117.SH,中国化学,python_only,880715.SH,磷概念,880715.SH,78.50160117721308,78.50160117721308,0.0,7.199999999999999,5.087719298245614,10.37719298245614,28.0,7.836688896511326,15.0,5.0,70-<80,0.06322580645161291,0.056774193548386975,0.04516129032258065,0.03870967741935494,0.08903225806451598,0.001290322580645098,True,False
2026-01-06,3,002460.SZ,赣锋锂业,shared,880899.SH,钴金属,880899.SH,76.95988411726147,76.95988411726147,0.0,2.4000000000000004,6.944444444444445,6.680555555555555,28.0,15.867556231819133,12.067327885442332,5.0,70-<80,-0.00627802690582957,-0.028101644245142166,-0.022571001494768428,0.058295964125560484,0.017488789237668056,-0.024065769805680093,False,False
2026-01-06,4,301358.SZ,湖南裕能,python_only,880715.SH,磷概念,880715.SH,70.79715522680173,70.79715522680173,0.0,7.199999999999999,5.7894736842105265,9.921052631578947,28.0,15.003361556311976,4.88326735470028,0.0,70-<80,-0.04307419973447413,-0.05517037911196354,-0.06195604071396965,-0.09883463637704681,0.0029502876530460576,-0.06284112700988354,False,True
2026-01-06,5,000566.SZ,海南海药,shared,880733.SH,人脑工程,880733.SH,69.49638467477364,75.49638467477364,6.0,12.0,3.4523809523809526,4.7272727272727275,27.02634246183053,10.455469693461982,12.834918839827441,5.0,60-<70,-0.023383768913342484,0.02751031636863832,0.016506189821182904,-0.0220082530949105,0.0027510316368639653,-0.026134800550206227,False,False
