date,rank,symbol,stock_name,signal_source,best_sector,best_sector_name,sectors,final_score,base_score,risk_penalty,board_leadership,relative_strength,liquidity,brick_strength,white_yellow_trend,previous_kdj_j,previous_kdj_doji,score_bucket,return_1d,return_2d,return_3d,return_5d,next_day_high_return,next_day_low_return,hit_plus_3pct_next_day,hit_minus_3pct_next_day
2026-01-05,1,300054.SZ,鼎龙股份,shared,880672.SH,存储芯片,880672.SH,25.0,54.48448010383381,0.0,2.4000000000000004,5.654450261780105,9.129635689354275,20.931233782244743,16.210174435080802,0.15898593537388214,0.0,<50,0.03149001536098295,0.14772145417306692,0.16589861751152069,0.15181771633384544,0.06451612903225801,-0.00640040962621613,True,False
2026-01-05,2,300346.SZ,南大光电,shared,880672.SH,存储芯片,880672.SH,25.0,62.7654726484303,0.0,2.4000000000000004,6.020942408376963,8.988547120418849,10.727213373384814,14.62876974624967,15.0,5.0,<50,0.029550033579583523,0.23550481307365123,0.2605775688381464,0.28385941347660615,0.03828072531900606,-0.009626147302440158,True,False
2026-01-05,3,300655.SZ,晶瑞电材,shared,880672.SH,存储芯片,880672.SH,25.0,54.40690897389112,0.0,2.4000000000000004,4.869109947643979,5.522660340314136,8.902048814499492,12.713089871433514,15.0,5.0,<50,0.048619447779111535,0.15186074429771912,0.1452581032412965,0.14045618247298908,0.07322929171668657,-0.010204081632653184,True,False
2026-01-05,4,301201.SZ,诚达药业,shared,880920.SH,免疫治疗,880920.SH,25.0,64.52304071287948,8.0,4.800000000000001,9.01639344262295,9.435483870967742,21.014914523259556,15.5611493890048,4.695099487024426,0.0,<50,0.016445145302996123,0.04550574453705791,0.07366523991890062,0.15003379139445805,0.023653976120747933,-0.012615453931065557,False,False
2026-01-05,5,301629.SZ,矽电股份,shared,880672.SH,存储芯片,880672.SH,25.0,58.070003732169816,14.0,2.4000000000000004,8.848167539267015,10.900155431937172,0.5770583190431481,15.344622441922482,15.0,5.0,<50,0.021224524241529208,0.07599476771171765,0.2358749314317059,0.16882568884763072,0.050466264399341654,-0.02822903919996622,True,False
2026-01-06,1,002460.SZ,赣锋锂业,shared,880899.SH,钴金属,880899.SH,76.95988411726147,76.95988411726147,0.0,2.4000000000000004,6.944444444444445,6.680555555555555,28.0,15.867556231819133,12.067327885442332,5.0,70-<80,-0.00627802690582957,-0.028101644245142166,-0.022571001494768428,0.058295964125560484,0.017488789237668056,-0.024065769805680093,False,False
2026-01-06,2,000566.SZ,海南海药,shared,880733.SH,人脑工程,880733.SH,69.49638467477364,75.49638467477364,6.0,12.0,3.4523809523809526,4.7272727272727275,27.02634246183053,10.455469693461982,12.834918839827441,5.0,60-<70,-0.023383768913342484,0.02751031636863832,0.016506189821182904,-0.0220082530949105,0.0027510316368639653,-0.026134800550206227,False,False
2026-01-07,1,688403.SH,汇成股份,shared,880672.SH,存储芯片,880672.SH;880635.SH,77.50622809932908,77.50622809932908,0.0,7.199999999999999,4.293193717277487,5.529572971204189,28.0,15.314969388223231,12.168492022624177,5.0,70-<80,0.08982035928143706,0.08083832335329344,0.0880239520958086,0.0880239520958086,0.10718562874251503,-0.017365269461077748,True,False
2026-01-07,2,301036.SZ,双乐股份,shared,880716.SH,光刻机,880716.SH,77.12863042183834,77.12863042183834,0.0,12.0,3.658536585365854,4.17479674796748,28.0,9.295297088504999,15.0,5.0,70-<80,-0.012240250498149696,-0.012809564474807966,-0.008255052661542805,0.001423284941645342,0.000284656988329024,-0.015940791346427563,False,False
2026-01-08,1,300726.SZ,宏达电子,shared,880548.SH,商业航天,880548.SH,79.51114421171361,79.51114421171361,0.0,2.4000000000000004,6.527777777777778,8.40953307392996,28.0,17.0,12.173833360005869,5.0,70-<80,0.03405865657521279,0.0331125827814569,-0.03595080416272467,-0.037275307473983,0.05070955534531696,-0.008893093661305529,True,False
2026-01-08,2,300351.SZ,永贵电器,shared,880546.SH,卫星导航,880546.SH;880548.SH,66.62463424657979,66.62463424657979,0.0,4.800000000000001,2.572463768115942,3.075268817204301,28.0,16.216075238315852,11.960826422943692,0.0,60-<70,0.019157088122605526,0.0448823207443898,0.023535851122058027,0.003831417624521105,0.026819923371647514,-0.0005473453749315071,False,False
2026-01-08,3,301329.SZ,信音电子,shared,880546.SH,卫星导航,880546.SH;880548.SH,35.0,64.83911937631973,0.0,4.800000000000001,6.3768115942028984,5.8942652329749095,18.805344109800735,14.933660198173735,14.029038241167452,0.0,<50,0.05987525987525988,0.09771309771309755,0.04532224532224527,0.059043659043658936,0.1130977130977131,0.007900207900207734,True,False
2026-01-08,4,002682.SZ,龙洲股份,shared,880546.SH,卫星导航,880546.SH;880548.SH,25.0,64.67444997181916,0.0,4.800000000000001,6.77536231884058,5.032258064516129,15.230476054814066,13.0,14.836353533648383,5.0,<50,-0.007177033492822837,0.0346889952153111,-0.06818181818181812,-0.12200956937799035,0.017942583732057482,-0.023923444976076458,False,False
2026-01-14,1,002253.SZ,川大智胜,shared,880689.SH,华为算力,880689.SH,79.45428882055973,79.45428882055973,0.0,2.4000000000000004,7.777777777777778,5.5,28.0,16.185309453828953,14.591201588952993,5.0,70-<80,0.018404907975460016,0.002629272567922891,-0.020157756354075462,-0.04645048203330404,0.042944785276073594,-0.0035056967572305586,True,False
2026-01-15,1,300260.SZ,新莱应材,shared,880716.SH,光刻机,880716.SH,91.87225679239762,91.87225679239762,0.0,12.0,7.967479674796748,10.040650406504065,28.0,16.491095499534367,12.373031211562438,5.0,90-100,0.0248739495798318,0.006386554621848672,0.03361344537815136,0.03865546218487381,0.08705882352941186,-0.005042016806722671,True,False
2026-01-15,2,688519.SH,南亚新材,shared,880672.SH,存储芯片,880672.SH,88.4308264663097,92.4308264663097,4.0,9.600000000000001,8.941798941798941,9.885416666666666,28.0,16.003610857844084,15.0,5.0,80-<90,0.01781170483460559,0.060432569974554706,-0.03040712468193385,0.16106870229007653,0.02900763358778624,-0.012086513994910786,False,False
2026-01-15,3,688300.SH,联瑞新材,shared,880672.SH,存储芯片,880672.SH;880635.SH,86.45344032357914,90.45344032357914,4.0,9.600000000000001,8.783068783068783,9.411458333333334,28.0,14.658913207177026,15.0,5.0,80-<90,0.04795050270688317,0.05537509667440066,0.06682134570765652,0.08012374323279192,0.05583913379737049,0.0027842227378189754,True,False
2026-01-15,4,688535.SH,华海诚科,shared,880672.SH,存储芯片,880672.SH;880635.SH,83.93106452721456,83.93106452721456,0.0,9.600000000000001,6.349206349206349,4.604166666666667,28.0,15.377691511341538,15.0,5.0,80-<90,0.08695652173913038,0.11115913216354056,0.15826778459676727,0.17555536347134582,0.09776125853574213,0.011064050479730358,True,False
2026-01-15,5,002008.SZ,大族激光,shared,880716.SH,光刻机,880716.SH;880672.SH;880635.SH,83.51151882205255,83.51151882205255,0.0,12.0,7.560975609756097,8.032520325203253,28.0,17.0,10.918022887093201,0.0,80-<90,0.054561717352414885,0.07602862254025045,0.04181574239713792,0.1504919499105546,0.06015205724508044,-0.004695885509839015,True,False
2026-01-16,1,002916.SZ,深南电路,shared,880672.SH,存储芯片,880672.SH;880635.SH,92.52151729813004,92.52151729813004,0.0,12.0,6.282722513089006,11.002604166666666,28.0,15.236190618374366,15.0,5.0,90-100,0.022737041175964867,-0.0076506490157310925,0.06206481561076238,0.0636551190578527,0.053038769019169596,-0.02853949969913172,True,False
2026-01-16,2,688981.SH,中芯国际,shared,880672.SH,存储芯片,880672.SH,88.27106509026306,88.27106509026306,0.0,12.0,3.507853403141361,9.546875,28.0,15.2163366871217,15.0,5.0,80-<90,-0.01338688085676032,-0.03787699818883372,0.001574927159618822,-0.015985510670131542,0.011890700055122494,-0.014725568942436373,False,False
2026-01-16,3,001311.SZ,多利科技,shared,880675.SH,减速器,880675.SH,79.70348959365856,79.70348959365856,0.0,4.800000000000001,8.074074074074074,7.3125,28.0,16.516915519584483,15.0,0.0,70-<80,0.051442164733868534,0.03865596193874499,0.09991079393398739,0.16859946476360377,0.055605114481118045,-0.015759738328873008,True,False
2026-01-16,4,688233.SH,神工股份,shared,880672.SH,存储芯片,880672.SH;880608.SH,79.48421124500956,87.48421124500956,8.0,12.0,8.848167539267015,8.057291666666666,28.0,16.983453965835746,13.595298073240127,0.0,70-<80,0.0027517198248905306,0.08292682926829253,0.08930581613508437,0.10819262038774213,0.03564727954971847,-0.01776110068793002,True,False
2026-01-16,5,603800.SH,洪田股份,shared,880635.SH,先进封装,880635.SH,74.53232335969942,82.53232335969942,8.0,9.600000000000001,8.983957219251337,8.15079365079365,23.34858363215116,14.516515610602854,12.932473246900413,5.0,70-<80,-0.022026431718061623,-0.04232905573644896,-0.00402221796590696,-0.03083700440528636,0.028538594139053908,-0.03179467534954994,False,True
2026-01-19,1,300265.SZ,通光线缆,shared,880964.SH,特高压,880964.SH;880520.SH,86.7130262201338,90.7130262201338,4.0,12.0,7.82258064516129,7.222222222222222,28.0,16.739344536228682,13.928878816521607,5.0,80-<90,-0.04923486360612106,-0.09647371922821024,-0.07252162341982704,-0.06852960745176306,0.009980039920159722,-0.06586826347305386,False,True
2026-01-19,2,600486.SH,扬农化工,shared,880910.SH,草甘膦,880910.SH;880797.SH,82.03708041024856,86.03708041024856,4.0,7.199999999999999,9.375,10.96875,28.0,15.765922519507457,14.727407890741102,0.0,80-<90,0.024879060124395558,0.03178991015894961,0.06482377332411904,0.06385625431928132,0.02916378714581902,-0.002349689011748257,False,False
2026-01-19,3,001231.SZ,农心科技,shared,880797.SH,虫害防治,880797.SH,71.73915867264827,71.73915867264827,0.0,2.4000000000000004,5.454545454545454,5.318181818181818,28.0,15.566431399920997,15.0,0.0,70-<80,-0.009203681472588876,-0.014405762304921965,-0.013605442176870763,0.0008003201280513128,0.0,-0.019607843137254832,False,False
2026-01-19,4,688262.SH,国芯科技,shared,880520.SH,智能电网,880520.SH,45.0,74.58110558420292,6.0,4.800000000000001,2.973977695167286,5.190476190476191,28.0,16.41893301239806,12.197718686161377,5.0,<50,0.07426810477657919,0.10909090909090913,0.14699537750385194,0.04160246533127876,0.14946070878274242,-0.0015408320493067729,True,False
2026-01-19,5,300082.SZ,奥克股份,shared,880587.SH,聚氨酯,880587.SH,25.0,56.9211864359204,0.0,9.600000000000001,4.722222222222222,5.055555555555555,11.079088404745422,15.071741922589931,11.392578330807263,0.0,<50,0.008555133079847899,0.06178707224334601,0.05513307984790883,0.03897338403041828,0.015209125475285079,-0.014258555133079831,False,False
2026-01-21,1,002466.SZ,天齐锂业,shared,880761.SH,锂矿,880761.SH,85.69146807899413,85.69146807899413,0.0,7.199999999999999,5.8,9.75,28.0,16.650185392633485,13.291282686360649,5.0,80-<90,-0.01269737913071789,0.0223018069347225,0.004558033534103778,-0.005209181181833,0.019860003255738112,-0.01855770796028,False,False
2026-01-21,2,002192.SZ,融捷股份,shared,880761.SH,锂矿,880761.SH,81.54713581636312,85.54713581636312,4.0,7.199999999999999,8.6,10.4,28.0,16.34713581636312,15.0,0.0,80-<90,-0.0008576329331045907,0.050943396226415194,0.026929674099485323,0.019210977701543897,0.023670668953687857,-0.011492281303601914,False,False
2026-01-21,3,301183.SZ,东田微,shared,880656.SH,CPO概念,880656.SH,45.0,68.36281259129343,4.0,4.800000000000001,8.814432989690722,8.811855670103093,19.954118961104054,11.182690516082051,14.799714454313513,0.0,<50,0.02461743180306053,-0.024284763805721976,-0.01463739188290103,0.03885562208915494,0.030405854956753187,-0.011111111111111183,True,False
2026-01-21,4,688350.SH,富淼科技,shared,880761.SH,锂矿,880761.SH,35.0,75.83407849314425,0.0,7.199999999999999,7.0,2.86,28.0,16.724188569687257,14.049889923456984,0.0,<50,-0.024822695035460973,-0.03191489361702127,-0.03900709219858145,-0.11773049645390077,0.027659574468085202,-0.029787234042553234,False,False
2026-01-21,5,002183.SZ,怡 亚 通,shared,880761.SH,锂矿,880761.SH,25.0,66.67480770462153,0.0,7.199999999999999,4.8,6.24,13.856288529701688,14.578519174919837,15.0,5.0,<50,0.10019646365422386,0.12377210216110024,0.13163064833005889,0.21611001964636545,0.10019646365422386,0.0,True,False
2026-01-22,1,600862.SH,中航高科,shared,880616.SH,大飞机,880616.SH,87.77127231744436,87.77127231744436,0.0,7.199999999999999,8.14569536423841,11.24671052631579,26.314697951290416,16.726152198558673,13.138016277041064,5.0,80-<90,-0.0056839712012126675,-0.04244031830238726,-0.025009473285335315,-0.05608184918529746,0.008715422508525972,-0.014778325123152691,False,False
2026-01-22,2,300084.SZ,海默科技,shared,880549.SH,可燃冰,880549.SH;880553.SH,87.66013109516774,87.66013109516774,0.0,12.0,7.5,5.145833333333333,28.0,16.369317483515697,13.644980278318709,5.0,80-<90,0.02504638218923949,0.03896103896103886,0.05658627087198531,0.032467532467532534,0.0287569573283859,-0.01948051948051943,False,False
2026-01-22,3,688122.SH,西部超导,shared,880616.SH,大飞机,880616.SH,86.05578598814918,86.05578598814918,0.0,7.199999999999999,8.079470198675496,10.776315789473685,28.0,17.0,15.0,0.0,80-<90,0.026244146792987033,-0.030382228030055414,-0.011760862463247257,-0.04159860612000432,0.03441141239246437,-0.019601437438745428,True,False
2026-01-22,4,300008.SZ,天海防务,shared,880914.SH,军贸概念,880914.SH,78.39998587072667,82.39998587072667,4.0,2.4000000000000004,9.2,12.22,28.0,16.36615063823111,14.213835232495551,0.0,70-<80,0.0033370411568409697,-0.020022246941045596,-0.034482758620689724,-0.06674082313681862,0.010011123470522687,-0.016685205784204737,False,False
2026-01-22,5,688543.SH,国科军工,shared,880914.SH,军贸概念,880914.SH,74.23555514106741,74.23555514106741,0.0,2.4000000000000004,6.4,8.58,28.0,17.0,11.855555141067413,0.0,70-<80,0.01539969200615987,-0.032899342013159805,0.007559848803023739,-0.048019039619207726,0.02757944841103166,-0.02001959960800792,False,False
2026-01-23,1,688456.SH,有研粉材,shared,880684.SH,BC电池,880684.SH,78.65156521694755,78.65156521694755,0.0,12.0,2.4489795918367347,4.42,28.0,12.119710672321695,14.662874952789114,5.0,70-<80,-0.04293409378960711,-0.03406210392902409,-0.013783269961977096,-0.04467680608365021,0.03596324461343481,-0.05228136882129275,True,True
2026-01-23,2,300433.SZ,蓝思科技,shared,880638.SH,TOPCon电池,880638.SH,74.55700781834975,82.55700781834975,8.0,7.199999999999999,9.0625,11.227272727272727,24.432780395236264,17.0,13.634454695840763,0.0,70-<80,-0.08615023474178407,-0.0910798122065728,-0.10985915492957743,-0.14671361502347413,-0.011737089201877882,-0.0997652582159625,False,True
2026-01-23,3,002634.SZ,*ST棒杰,shared,880638.SH,TOPCon电池,880638.SH,70.81983016741165,74.81983016741165,4.0,7.199999999999999,5.15625,5.0227272727272725,28.0,14.903931621627908,14.536921273056468,0.0,70-<80,-0.09290540540540537,-0.0016891891891891442,-0.048986486486486513,-0.06756756756756765,0.011824324324324342,-0.09966216216216217,False,True
2026-01-23,4,301327.SZ,华宝新能,shared,880684.SH,BC电池,880684.SH,69.36709636075663,73.36709636075663,4.0,12.0,3.2653061224489797,6.37,17.06347124117427,14.66831899713338,15.0,5.0,60-<70,-0.028843155597131243,-0.027439975054568078,-0.05051449953227316,-0.08481446835048323,0.006859993763641992,-0.03180542563143118,False,True
2026-01-23,5,688472.SH,阿特斯,shared,880684.SH,BC电池,880684.SH;880655.SH;880638.SH;880737.SH,65.6880052658904,73.6880052658904,8.0,12.0,7.755102040816326,9.75,25.663181945623183,17.0,1.5197212794508819,0.0,60-<70,-0.05263157894736836,-0.06481994459833806,-0.0908587257617729,-0.1534626038781164,0.016620498614958512,-0.059833795013850555,False,True
2026-01-26,1,300318.SZ,博晖创新,shared,880557.SH,生物疫苗,880557.SH,75.12147778028819,83.12147778028819,8.0,7.199999999999999,9.117647058823529,10.036764705882353,28.0,16.384075447071087,12.382990568511218,0.0,70-<80,0.06397774687065372,0.011126564673157091,-0.03894297635605015,-0.12934631432545207,0.13630041724617525,-0.06536856745479847,True,True
2026-01-27,1,300656.SZ,民德电子,shared,880758.SH,汽车芯片,880758.SH,25.0,72.39257704138916,8.0,12.0,9.747899159663865,8.504166666666666,10.326345839988536,16.981089623605392,14.833075751464708,0.0,<50,0.06144393241167445,0.15207373271889413,0.22542242703533022,0.14861751152073732,0.14362519201228885,0.0,True,False
2026-01-29,1,002605.SZ,姚记科技,shared,880692.SH,短剧游戏,880692.SH,82.08706072266239,82.08706072266239,0.0,4.800000000000001,5.301204819277109,8.994186046511627,28.0,15.384189675518932,14.607480181354715,5.0,80-<90,-0.03058560238716901,-0.06079820962327487,-0.036926519955240544,-0.04513241327862727,-0.008205893323386726,-0.03431555389779928,False,True
2026-01-29,2,000676.SZ,智度股份,shared,880958.SH,AI营销,880958.SH,79.17003954240882,79.17003954240882,0.0,12.0,4.285714285714286,8.047619047619047,28.0,15.061926855711327,11.774779353364158,0.0,70-<80,-0.023858921161825752,-0.0134854771784233,0.005186721991701226,-0.011410788381742809,-0.007261410788381717,-0.04253112033195017,False,True
2026-01-29,3,000888.SZ,峨眉山Ａ,shared,880564.SH,白酒概念,880564.SH,45.0,62.7730403696827,0.0,9.600000000000001,4.680851063829787,6.09375,8.581075526407576,13.973559300296891,14.843804479148439,5.0,<50,0.010159651669085612,-0.0036284470246733536,-0.005079825834542695,0.03265602322206096,0.015239477503628418,-0.00943396226415083,False,False
2026-01-29,4,300770.SZ,新媒股份,shared,880692.SH,短剧游戏,880692.SH,35.0,61.056429830325,0.0,4.800000000000001,7.469879518072289,9.296511627906977,5.817923032958288,13.672115651387443,15.0,5.0,<50,-0.002394427514148867,-0.020461471484545024,-0.0013060513713538668,-0.010666086199390357,0.010013060513713645,-0.013278188942098423,False,False
2026-01-29,5,600257.SH,大湖股份,shared,880564.SH,白酒概念,880564.SH,25.0,47.37743046499627,0.0,9.600000000000001,3.1914893617021276,2.5729166666666665,5.968346203132795,16.098194428519875,9.946483804974804,0.0,<50,-0.0026990553306343035,-0.03238866396761142,-0.029689608636977005,-0.04048582995951411,0.0161943319838056,-0.026990553306342813,False,False
2026-01-30,1,600097.SH,开创国际,shared,880903.SH,水产品,880903.SH,81.7794195273503,81.7794195273503,0.0,9.600000000000001,8.181818181818182,6.5,25.83790744974278,12.40143163099399,14.258262264795345,5.0,80-<90,-0.034146341463414664,-0.030081300813008194,-0.003252032520325243,-0.0008130081300814496,-0.011382113821138296,-0.04146341463414649,False,True
2026-01-30,2,002643.SZ,万润股份,shared,880670.SH,光通信,880670.SH,25.0,54.19186617579555,0.0,4.800000000000001,6.6438356164383565,4.819727891156463,6.858471326842108,16.06983134135863,15.0,0.0,<50,-0.059098888238736214,-0.0210649502633119,-0.016383850204798156,-0.043300175541252095,-0.0052662375658280025,-0.06026916325336462,False,True
2026-01-30,3,300456.SZ,赛微电子,shared,880656.SH,CPO概念,880656.SH,25.0,58.16131969215507,0.0,7.199999999999999,7.564766839378239,9.917525773195877,1.8490216201306549,11.630005459450299,15.0,5.0,<50,-0.009567546880979716,0.06735553004209738,0.057213930348258835,-0.03903559127439726,0.033295063145809545,-0.024110218140068862,True,False
2026-01-30,4,688312.SH,燕麦科技,shared,880656.SH,CPO概念,880656.SH,25.0,65.28974905262015,8.0,7.199999999999999,9.844559585492227,8.40979381443299,8.328260788938627,16.50713486375631,15.0,0.0,<50,-0.03397683397683393,0.14362934362934365,0.19974259974259967,0.28185328185328173,0.04015444015444003,-0.037837837837837784,True,True
2026-02-02,1,002879.SZ,长缆科技,shared,880520.SH,智能电网,880520.SH,91.46484578047132,91.46484578047132,0.0,9.600000000000001,8.95910780669145,8.952380952380953,28.0,15.953357021398915,15.0,5.0,90-100,0.014814814814814836,0.02824074074074079,-0.01157407407407407,0.03611111111111098,0.014814814814814836,-0.014351851851851949,False,False
2026-02-02,2,002028.SZ,思源电气,shared,880964.SH,特高压,880964.SH;880520.SH,88.61903018113954,94.61903018113954,6.0,12.0,6.96,11.452380952380953,28.0,17.0,14.206649228758586,5.0,80-<90,0.06650272639794719,0.07895862290174271,0.02844007270394533,0.07986742221747023,0.06971025339463277,-0.01047792152250615,True,False
2026-02-02,3,002533.SZ,金杯电工,shared,880964.SH,特高压,880964.SH;880520.SH,84.51696818758103,94.51696818758103,10.0,12.0,8.88,10.833333333333332,28.0,15.672866012836305,14.130768841411392,5.0,80-<90,0.021536252692031743,0.03732950466618812,-0.012921751615218913,0.02081837760229721,0.023689877961234673,-0.006460875807609456,False,False
2026-02-02,4,600995.SH,南网储能,shared,880630.SH,虚拟电厂,880630.SH,81.56378134771516,87.56378134771516,6.0,4.800000000000001,9.013157894736842,11.895424836601308,28.0,15.553680732439567,13.301517883937446,5.0,80-<90,0.020000000000000018,0.0035714285714285587,-0.04500000000000004,-0.04357142857142848,0.02285714285714291,-0.00642857142857145,False,False
2026-02-02,5,300444.SZ,双杰电气,shared,880630.SH,虚拟电厂,880520.SH;880630.SH,45.0,86.2836435349182,8.0,4.800000000000001,10.0,12.277777777777779,27.20586575714042,17.0,15.0,0.0,<50,0.04365079365079372,0.04828042328042326,-0.020502645502645467,0.0092592592592593,0.08399470899470907,-0.02910052910052907,True,False
